"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 23:44:38 UTC 2026","Thu May 28 23:44:38 UTC 2026","660","app.test.integration","test_prestamo_integration","","","","test_registrar_prestamo_success",""
"passed","Thu May 28 23:44:36 UTC 2026","Thu May 28 23:44:36 UTC 2026","319","app.test.integration","test_articulo_integration","","","","test_buscar_articulos_vacio",""
"passed","Thu May 28 23:44:37 UTC 2026","Thu May 28 23:44:37 UTC 2026","292","app.test.integration","test_auth_integration","","","","test_login_user",""
"passed","Thu May 28 23:44:39 UTC 2026","Thu May 28 23:44:39 UTC 2026","5","app.test.integration","test_prestamo_integration","","","","test_registrar_prestamo_sin_token",""
"passed","Thu May 28 23:44:37 UTC 2026","Thu May 28 23:44:38 UTC 2026","294","app.test.integration","test_auth_integration","","","","test_login_invalid_password",""
"passed","Thu May 28 23:44:37 UTC 2026","Thu May 28 23:44:37 UTC 2026","17","app.test.integration","test_articulo_integration","","","","test_importar_excel_forbidden",""
"passed","Thu May 28 23:44:37 UTC 2026","Thu May 28 23:44:37 UTC 2026","148","app.test.integration","test_auth_integration","","","","test_register_user",""
"passed","Thu May 28 23:44:39 UTC 2026","Thu May 28 23:44:39 UTC 2026","604","app.test.integration","test_prestamo_integration","","","","test_registrar_prestamo_stock_insuficiente",""
"passed","Thu May 28 23:44:36 UTC 2026","Thu May 28 23:44:37 UTC 2026","337","app.test.integration","test_articulo_integration","","","","test_importar_excel_success",""
"passed","Thu May 28 23:44:36 UTC 2026","Thu May 28 23:44:36 UTC 2026","10","app.test.integration","test_articulo_integration","","","","test_obtener_articulos_vacio",""
